['3760393', '791', '370', '373', 'O', '671', '770', '674']
['21024', '371', '439', '346', '374', '487', 'O', 'O']
['56650', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['21025', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['63867', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21026', '173', '175', '82', 'O', '104', '69', '48']
['70932', '139', '187', 'Oz', '43', '90', 'Oz', 'Oz']
['21027', '81', 'O', '98', '73', '94', '191', 'O']
['21028', '143', 'Oz', '47', '41', '176', 'O', 'O']
['21029', '346', '350', '404', '343', '382', '348', 'O']
['21030', '42', '73', '74', 'Oz', '106', '178', '174']
['21031', '97', '97', '97', '97', '97', 'O', 'O']
['21032', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['21033', '489', '408', '342', '373', 'O', 'O', '489']
['21034', '347', '472', '396', '489', '485', 'O', '376']
['21035', '377', '346', '443', '490', '340', 'O', '435']
['21036', '93', '83', '191', '82', '178', 'O', 'O']
['21037', '342', 'O', '473', '390', '346', '487', '374']
['21038', '344', 'O', '475', '487', '396', 'O', 'O']
['21039', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz', 'Oz', '735']
['21040', '383', 'Oz', '372', '650', '674', '785', 'O']
['21041', 'O', '649', '786', '674', 'O', '669', '775']
